# Курируемый сид «слово → ветка сада». Формат:  лемма <TAB> branchId  (# — комментарий).
# branchId должен существовать в topics.tsv (food/animals/nature/body/people/emotions/home/
#   clothing/travel/time/science/work-society/leisure).
# Зачем: у общих слов Викисловарь НЕ тегает очевидный смысл (dog=собака без категории), поэтому
#   тему бытовой лексики задаём здесь руками. Это в ПРИОРИТЕТЕ над авто-категориями; слова не из
#   списка раскладываются по kaikki-категориям (фолбэк) либо уходят в «Разное».
# Разметка по частому смыслу слова. Спорные/абстрактные (back, state, thing) намеренно опущены.
#
# ================= ВРЕМЯ И КАЛЕНДАРЬ =================
time	time
year	time
day	time
date	time
week	time
month	time
night	time
morning	time
evening	time
afternoon	time
today	time
tomorrow	time
yesterday	time
hour	time
minute	time
moment	time
age	time
future	time
past	time
century	time
decade	time
weekend	time
holiday	time
birthday	time
clock	time
calendar	time
schedule	time
season	time
spring	time
summer	time
autumn	time
winter	time
monday	time
tuesday	time
wednesday	time
thursday	time
friday	time
saturday	time
sunday	time
january	time
february	time
march	time
april	time
june	time
july	time
august	time
september	time
october	time
november	time
december	time
# ================= ЛЮДИ И СЕМЬЯ =================
people	people
person	people
man	people
woman	people
men	people
child	people
children	people
kid	people
baby	people
boy	people
girl	people
family	people
mother	people
father	people
mom	people
dad	people
parent	people
son	people
daughter	people
brother	people
sister	people
wife	people
husband	people
friend	people
neighbor	people
teacher	people
student	people
doctor	people
nurse	people
king	people
queen	people
member	people
guest	people
adult	people
teenager	people
human	people
guy	people
lady	people
couple	people
uncle	people
aunt	people
cousin	people
grandmother	people
grandfather	people
grandma	people
grandpa	people
nephew	people
niece	people
twin	people
boss	people
manager	people
worker	people
employee	people
citizen	people
president	people
# ================= ТЕЛО И ЗДОРОВЬЕ =================
body	body
head	body
hand	body
arm	body
leg	body
foot	body
eye	body
ear	body
nose	body
mouth	body
hair	body
face	body
finger	body
tooth	body
teeth	body
heart	body
brain	body
blood	body
bone	body
skin	body
shoulder	body
knee	body
health	body
hospital	body
medicine	body
disease	body
pain	body
illness	body
fever	body
stomach	body
chest	body
lip	body
tongue	body
throat	body
muscle	body
thumb	body
wrist	body
ankle	body
elbow	body
hip	body
cheek	body
chin	body
forehead	body
eyebrow	body
wound	body
injury	body
# ================= ЕДА И НАПИТКИ =================
food	food
water	food
coffee	food
tea	food
milk	food
bread	food
cheese	food
meat	food
egg	food
rice	food
fruit	food
apple	food
banana	food
orange	food
potato	food
tomato	food
vegetable	food
sugar	food
salt	food
butter	food
beef	food
pork	food
soup	food
salad	food
cake	food
chocolate	food
wine	food
beer	food
juice	food
breakfast	food
lunch	food
dinner	food
meal	food
snack	food
sandwich	food
pizza	food
pasta	food
honey	food
jam	food
cream	food
flour	food
oil	food
pepper	food
onion	food
carrot	food
lemon	food
grape	food
strawberry	food
cherry	food
corn	food
bean	food
cookie	food
pie	food
candy	food
drink	food
dish	food
recipe	food
restaurant	food
# ================= ЖИВОТНЫЕ =================
animal	animals
dog	animals
cat	animals
bird	animals
fish	animals
horse	animals
cow	animals
pig	animals
sheep	animals
chicken	animals
duck	animals
lion	animals
tiger	animals
bear	animals
elephant	animals
monkey	animals
rabbit	animals
mouse	animals
rat	animals
snake	animals
frog	animals
insect	animals
bug	animals
bee	animals
ant	animals
spider	animals
butterfly	animals
wolf	animals
fox	animals
deer	animals
goat	animals
pet	animals
puppy	animals
kitten	animals
whale	animals
dolphin	animals
shark	animals
eagle	animals
owl	animals
turtle	animals
lizard	animals
dinosaur	animals
creature	animals
# ================= РАСТЕНИЯ И ПРИРОДА =================
nature	nature
air	nature
sun	nature
moon	nature
star	nature
sky	nature
earth	nature
tree	nature
plant	nature
flower	nature
grass	nature
leaf	nature
forest	nature
mountain	nature
hill	nature
river	nature
lake	nature
sea	nature
ocean	nature
beach	nature
island	nature
desert	nature
rain	nature
snow	nature
wind	nature
storm	nature
cloud	nature
weather	nature
fire	nature
ice	nature
stone	nature
rock	nature
sand	nature
soil	nature
planet	nature
climate	nature
flood	nature
wave	nature
valley	nature
cave	nature
jungle	nature
volcano	nature
# ================= ДОМ И БЫТ =================
home	home
house	home
room	home
kitchen	home
bedroom	home
bathroom	home
door	home
window	home
wall	home
floor	home
roof	home
table	home
chair	home
bed	home
sofa	home
desk	home
lamp	home
furniture	home
cup	home
plate	home
bowl	home
spoon	home
fork	home
knife	home
glass	home
bottle	home
box	home
bag	home
key	home
mirror	home
